"site","subsite","spp","ind","leaf_type","height","leaf_size","lma","stem_density_25","stem_density_100","segment","length","xsa","mass_stem_main","mass_stem_side","mass_stem_total","mass_leaf_main","mass_leaf_side","mass_leaf_total","area_leaf_main","area_leaf_side","area_leaf_total","number_leaf_main","number_leaf_total","main_leaf_mass_per_length","main_stem_mass_per_length","main_all_mass_per_length","total_leaf_mass_per_length","total_stem_mass_per_length","total_all_mass_per_length","main_leaf_area_per_length","total_area_per_length","leaf_no_per_length","main_LMF","total_LMF","main_LAR","total_LAR"
"daintree","mt edith","acraci",1,"simple",8.5,14720,9.445e-05,0.38042,"5.2931E-01","a",125,"3.9820E+01",1.9158,2.2581,4.1739,9.6074,8.53,18.137,101720,90315,192040,6.9111,13.047,0.076859,0.015326,0.092186,0.1451,0.033391,0.17849,813.78,1536.3,0.055289,0.83374,0.81292,8827.6,8607.2
"daintree","mt edith","acraci",1,"simple",8.5,14720,9.445e-05,0.38042,"5.2931E-01","e",1000,"1.8857E+02",63.585,37.192,100.78,9.6074,85.735,95.342,101720,907760,1009500,6.9111,68.585,0.0096074,0.063585,0.073192,0.095342,0.10078,0.19612,101.72,1009.5,0.0069111,0.13126,0.48614,1389.8,5147.3
"daintree","kauri","acraci",2,"simple",14.19,14940,8.785e-05,0.3835,"5.0503E-01","0",0,"1.4239E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","kauri","acraci",2,"simple",14.19,14940,8.785e-05,0.3835,"5.0503E-01","a",95,"2.1991E+01",0.7435,0,0.7435,9.9425,0,9.9425,113170,0,113170,7.5752,7.5752,0.10466,0.0078263,0.11248,0.10466,0.0078263,0.11248,1191.3,1191.3,0.079739,0.93042,0.93042,10591,10591
"daintree","kauri","acraci",2,"simple",14.19,14940,8.785e-05,0.3835,"5.0503E-01","e",1000,"2.0199E+02",54.875,69.563,124.44,21.217,152.65,173.87,241510,1737500,1979000,16.166,132.47,0.021217,0.054875,0.076092,0.17387,0.12444,0.2983,241.51,1979,0.016166,0.27884,0.58285,3173.9,6634.3
"daintree","mt baldy","acraci",3,"simple",15.8,13250,7.234e-05,0.215,"4.5640E-01","0",0,"2.1991E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","mt baldy","acraci",3,"simple",15.8,13250,7.234e-05,0.215,"4.5640E-01","a",125,"1.2494E+01",0.7205,0,0.7205,3.73,0,3.73,51562,0,51562,3.8922,3.8922,0.02984,0.005764,0.035604,0.02984,0.005764,0.035604,412.49,412.49,0.031137,0.83811,0.83811,11586,11586
"daintree","mt baldy","acraci",3,"simple",15.8,13250,7.234e-05,0.215,"4.5640E-01","e",1000,"1.3988E+02",29.048,29.136,58.184,19.134,67.828,86.962,264500,937620,1202100,19.966,90.743,0.019134,0.029048,0.048182,0.086962,0.058184,0.14515,264.5,1202.1,0.019966,0.39712,0.59913,5489.5,8282.1
"daintree","mt edith","aleroc",1,"simple",14.5,34530,0.0001235,0.20422,"2.8992E-01","0",0,"2.9688E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","mt edith","aleroc",1,"simple",14.5,34530,0.0001235,0.20422,"2.8992E-01","a",125,"1.0367E+02",1.875,0,1.875,19.954,0,19.954,161590,0,161590,4.6804,4.6804,0.15963,0.015,0.17463,0.15963,0.015,0.17463,1292.8,1292.8,0.037443,0.91411,0.91411,7402.8,7402.8
"daintree","mt edith","aleroc",1,"simple",14.5,34530,0.0001235,0.20422,"2.8992E-01","e",1000,"2.3772E+02",44.627,0,44.627,125.57,0,125.57,1016900,0,1016900,29.453,29.453,0.12557,0.044627,0.1702,0.12557,0.044627,0.1702,1016.9,1016.9,0.029453,0.73779,0.73779,5974.9,5974.9
"daintree","mt edith","aleroc",2,"simple",9.09,91720,0.0001076,0.1738,"2.3806E-01","0",0,"6.8330E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","mt edith","aleroc",2,"simple",9.09,91720,0.0001076,0.1738,"2.3806E-01","a",125,"2.4300E+02",9.097,0,9.097,32.085,0,32.085,298060,0,298060,3.2496,3.2496,0.25668,0.072776,0.32946,0.25668,0.072776,0.32946,2384.5,2384.5,0.025997,0.7791,0.7791,7237.6,7237.6
"daintree","mt edith","aleroc",2,"simple",9.09,91720,0.0001076,0.1738,"2.3806E-01","e",1000,"4.6374E+02",87.899,0,87.899,174.68,0,174.68,1622700,0,1622700,17.692,17.692,0.17468,0.087899,0.26258,0.17468,0.087899,0.26258,1622.7,1622.7,0.017692,0.66525,0.66525,6179.9,6179.9
"daintree","mt edith","aleroc",3,"simple",9.5,95700,0.0001076,0.18133,"2.6621E-01","0",0,"4.6566E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","mt edith","aleroc",3,"simple",9.5,95700,0.0001076,0.18133,"2.6621E-01","a",125,"1.4448E+02",2.4879,2.196,4.6839,26.705,60.253,86.958,248120,559810,807930,2.5926,8.442,0.21364,0.019903,0.23354,0.69566,0.037471,0.73314,1984.9,6463.4,0.02074,0.91478,0.94889,8499.2,8816.2
"daintree","mt edith","aleroc",3,"simple",9.5,95700,0.0001076,0.18133,"2.6621E-01","e",1000,"4.3374E+02",66.186,4.962,71.148,244.1,68.618,312.71,2267900,637530,2905400,23.697,30.359,0.2441,0.066186,0.31028,0.31271,0.071148,0.38386,2267.9,2905.4,0.023697,0.78669,0.81465,7309.2,7569
"daintree","k-tree","alppet",1,"simple",8.75,5458,0.0001385,0.35577,"4.3671E-01","0",0,"5.4978E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","k-tree","alppet",1,"simple",8.75,5458,0.0001385,0.35577,"4.3671E-01","a",115,"1.3132E+01",0.4322,0,0.4322,4.222,0,4.222,30491,0,30491,5.5861,5.5861,0.036713,0.0037583,0.040471,0.036713,0.0037583,0.040471,265.14,265.14,0.048575,0.90714,0.90714,6551.3,6551.3
"daintree","k-tree","alppet",1,"simple",8.75,5458,0.0001385,0.35577,"4.3671E-01","e",1000,"1.1019E+02",21.095,12.848,33.943,10.381,36.603,46.983,74968,264340,339310,13.735,62.164,0.010381,0.021095,0.031476,0.046983,0.033943,0.080926,74.968,339.31,0.013735,0.3298,0.58057,2381.8,4192.8
"daintree","k-tree","alppet",2,"simple",6.8,6498,0.0001552,0.41752,"4.2667E-01","0",0,"7.4220E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
