spp,indiv,segment,length,displacement_mass_stem,dry_mass_stem,density_stem,dry_mass_bark,displacement_mass_wood,dry_mass_wood,density_wood,notes
argper,2,250mm,28.00,1.075,0.5894,0.5472,0.3800,0.357,0.2094,0.5854,
argper,2,1000mm,48.60,10.530,7.0246,0.6658,2.9458,5.455,4.0788,0.7462,
argper,3,250mm,23.70,0.898,0.4122,0.4583,0.2700,0.302,0.1422,0.4707,
argper,3,1000mm,24.60,7.452,4.7326,0.6338,2.0659,3.652,2.6667,0.7287,
argper,x,base,13.10,,,,,0.246,0.2044,0.8309,
argper,x,base,10.90,,,,,0.208,0.1537,0.7375,
argper,x,base,8.30,,,,,0.156,0.1255,0.8049,
argper,x,base,7.10,,,,,0.137,0.1134,0.8261,
atrhir,1,250mm,31.50,2.048,1.0040,0.4893,0.2466,1.205,0.7574,0.6273,
atrhir,1,1000mm,37.70,6.522,4.2432,0.6493,0.6634,4.589,3.5798,0.7785,
atrhir,2,250mm,42.90,2.006,1.0145,0.5047,0.2805,1.111,0.7340,0.6593,
atrhir,2,1000mm,30.90,3.112,2.1205,0.6800,0.4465,1.990,1.6740,0.8395,
atrhir,2,base,,,,,,5.040,4.1673,0.8252,
atrhir,3,250mm,36.00,1.077,0.5999,0.5559,0.1630,0.620,0.4369,0.7033,
atrhir,3,1000mm,56.50,4.131,2.8259,0.6827,0.4764,2.951,2.3495,0.7946,
atrhir,3,base,,,,,,3.782,3.2414,0.8553,
bropla,1,250mm,38.60,1.135,0.4037,0.3550,0.1298,0.674,0.2739,0.4056,
bropla,1,1000mm,32.30,1.767,0.9817,0.5545,0.1711,1.250,0.8106,0.6472,
bropla,2,250mm,34.10,0.619,0.2848,0.4592,0.0731,0.396,0.2117,0.5335,
bropla,2,1000mm,48.10,4.659,2.5822,0.5531,0.4542,3.329,2.1280,0.6380,
bropla,3,250mm,28.60,0.905,0.3071,0.3387,0.0956,0.540,0.2115,0.3909,
bropla,3,1000mm,46.20,6.015,2.7957,0.4639,0.4896,4.399,2.3061,0.5232,
bropla,x,base,18.80,,,,,0.352,0.2173,0.6161,
bropla,x,base,18.20,,,,,0.350,0.2233,0.6365,
bropla,x,base,15.00,,,,,0.287,0.1943,0.6756,
bropla,x,base,11.10,,,,,0.220,0.1319,0.5997,
carsub,1,250mm,34.60,1.422,0.7240,0.5081,0.2339,0.959,0.4901,0.5100,
carsub,1,1000mm,18.90,5.051,3.0275,0.5982,0.7629,3.661,2.2646,0.6173,
carsub,2,250mm,38.00,1.851,1.1687,0.6301,0.4103,1.166,0.7584,0.6491,
carsub,2,1000mm,50.05,21.710,14.0305,0.6450,3.4140,16.560,10.6165,0.6398,
carsub,3,250mm,27.40,1.375,0.5974,0.4336,0.1726,0.924,0.4248,0.4590,
