spp,indiv,segment,length,displacement_mass_stem,dry_mass_stem,density_stem,dry_mass_bark,displacement_mass_wood,dry_mass_wood,density_wood,notes
melell,x,base,24.60,,,,,0.476,0.2324,0.4873,
myrins,1,250mm,20.40,0.499,0.1649,0.3298,0.0888,0.222,0.0761,0.3421,
myrins,1,1000mm,32.30,5.831,2.3959,0.4101,0.6348,4.096,1.7611,0.4291,
myrins,2,250mm,30.00,1.236,0.4204,0.3394,0.2254,0.522,0.1950,0.3728,
myrins,2,1000mm,28.40,4.445,1.9712,0.4426,0.6600,2.664,1.3112,0.4912,
myrins,3,250mm,53.70,1.370,0.4156,0.3028,0.2148,0.602,0.2008,0.3329,
myrins,3,1000mm,47.50,6.425,2.4905,0.3869,0.8007,4.452,1.6898,0.3788,
myrins,x,base,18.10,,,,,0.349,0.1875,0.5369,
myrins,x,base,22.10,,,,,0.433,0.2202,0.5075,
myrins,x,base,20.00,,,,,0.386,0.2074,0.5362,
myrins,x,base,16.70,,,,,,0.1664,#DIV/0!,
neodea,1,250mm,34.70,0.723,0.2309,0.3187,0.1253,0.405,0.1056,0.2602,
neodea,1,base,20.00,,,,,0.398,0.2514,0.6304,
neodea,1,1000mm,35.00,2.511,0.9328,0.3707,0.2861,1.902,0.6467,0.3393,
neodea,2,250mm,36.80,0.477,0.1513,0.3166,0.0753,0.283,0.0760,0.2680,
neodea,2,base,24.80,,,,,0.476,0.2341,0.4908,
neodea,2,1000mm,38.60,5.120,1.8257,0.3559,0.4422,4.115,1.3835,0.3355,
neodea,3,250mm,25.00,0.285,0.0927,0.3250,0.0437,0.153,0.0490,0.3207,
neodea,3,base,15.50,,,,,0.273,0.1668,0.6098,
neodea,3,1000mm,24.60,2.341,0.9083,0.3872,0.2046,1.843,0.7037,0.3811,
neodea,x,base,22.00,,,,,0.419,0.2278,0.5426,
neodea,x,base,24.30,,,,,0.457,0.2462,0.5377,
omanov,1,base,19.80,,,,,0.369,0.1190,0.3218,
omanov,1,250mm,43.90,2.233,0.4176,0.1867,0.1172,1.635,0.3004,0.1834,
omanov,1,1000mm,35.90,6.043,1.9182,0.3168,0.4578,4.425,1.4604,0.3294,
omanov,2,base,22.10,,,,,0.399,0.1278,0.3197,
omanov,2,250mm,48.20,2.385,0.4450,0.1862,0.1616,1.598,0.2834,0.1770,
omanov,2,1000mm,37.50,7.950,2.2526,0.2828,0.4235,6.310,1.8291,0.2893,pithy core at25
omanov,3,250mm,29.20,0.643,0.0948,0.1471,0.0339,0.451,0.0609,0.1348,
omanov,3,base,30.40,,,,,0.588,0.1833,0.3114,
omanov,3,1000mm,47.10,4.489,1.4061,0.3126,0.2503,3.423,1.1558,0.3370,
omanov,x,base,16.20,,,,,0.315,0.1322,0.4188,
pitrub,1,250mm,22.80,0.444,0.2562,0.5765,0.0756,0.270,0.1806,0.6688,
pitrub,1,1000mm,24.00,1.303,0.8936,0.6844,0.1634,0.972,0.7302,0.7497,
pitrub,2,250mm,25.40,0.325,0.1664,0.5118,0.0516,0.183,0.1148,0.6261,
pitrub,2,1000mm,37.10,1.578,0.9935,0.6283,0.1537,1.182,0.8398,0.7091,
pitrub,3,250mm,25.50,0.454,0.2331,0.5124,0.0626,0.295,0.1705,0.5768,
pitrub,3,1000mm,42.50,2.819,1.8560,0.6571,0.2551,2.203,1.6009,0.7252,
polaus,1,base,14.70,,,,,0.278,0.1658,0.5952,
polaus,1,base,20.70,,,,,0.396,0.2447,0.6167,
polaus,1,250mm,35.00,8.925,2.7650,0.3092,1.0954,5.815,1.6696,0.2865,
polaus,1,250mm,41.10,9.587,2.8359,0.2952,0.8440,6.805,1.9919,0.2921,
polaus,1,1000mm,34.10,16.395,6.7207,0.4091,1.7208,12.480,4.9999,0.3998,
polaus,1,1000mm,41.30,16.630,7.0393,0.4224,1.6021,12.225,5.4372,0.4439,
polaus,3,base,17.50,,,,,0.334,0.1907,0.5702,
polaus,3,250mm,30.40,9.085,2.4367,0.2677,0.7877,6.177,1.6490,0.2664,
polaus,3,1000mm,31.00,15.270,5.4222,0.3544,1.3493,11.720,4.0729,0.3468,
polaus,x,base,21.80,,,,,0.421,0.2300,0.5459,
polaus,x,base,22.30,,,,,0.420,0.2391,0.5677,
polaus,x,base,17.60,,,,,0.357,0.1989,0.5560,
psydal,1,250mm,27.10,0.259,0.1164,0.4489,0.0386,0.142,0.0778,0.5468,
psydal,1,1000mm,35.50,1.822,0.9906,0.5426,0.1394,1.468,0.8512,0.5787,
psydal,2,250mm,26.10,,0.2401,#DIV/0!,0.0363,,0.2038,#DIV/0!,
psydal,2,1000mm,38.80,2.199,1.2546,0.5694,0.2059,1.604,1.0487,0.6525,
psydal,3,250mm,36.50,0.321,0.1581,0.4923,0.0435,0.197,0.1146,0.5812,
psydal,3,1000mm,22.20,2.104,1.1481,0.5446,0.1748,1.606,0.9733,0.6048,
psydal,3,base,,,,,,5.265,3.2320,0.6126,
psyspp,1,250mm,38.40,1.204,0.4915,0.4074,0.1761,0.687,0.3154,0.4582,
psyspp,1,1000mm,37.60,3.337,1.3316,0.3982,0.3705,2.107,0.9611,0.4552,
psyspp,1,base,,,,,,11.090,6.1400,0.5525,
psyspp,2,250mm,35.30,1.637,0.6280,0.3829,0.2340,0.825,0.3940,0.4766,
psyspp,2,1000mm,30.80,2.666,1.8180,0.6806,0.1899,1.895,1.6281,0.8574,
psyspp,2,base,,,,,,4.940,2.7294,0.5514,
psyspp,3,250mm,22.60,0.938,0.3050,0.3245,0.0812,0.566,0.2238,0.3946,
psyspp,3,1000mm,34.20,3.352,1.3127,0.3908,0.2355,2.477,1.0772,0.4340,
psyspp,3,base,,,,,,2.896,1.4236,0.4906,
quabai,1,base,19.30,,,,,0.352,0.1555,0.4409,
quabai,1,250mm,27.70,0.866,0.3384,0.3900,0.0970,0.509,0.2414,0.4737,
quabai,1,1000mm,34.60,5.185,2.4239,0.4665,0.4077,3.952,2.0162,0.5092,
quabai,2,base,20.00,,,,,0.382,0.1870,0.4885,
quabai,2,250mm,39.00,1.738,0.6469,0.3715,0.2702,0.821,0.3767,0.4579,
quabai,2,1000mm,51.10,8.411,4.0404,0.4794,0.8683,6.166,3.1721,0.5134,
quabai,3,base,16.30,,,,,0.308,0.1567,0.5077,
quabai,3,250mm,34.00,1.825,0.6292,0.3441,0.2552,0.834,0.3740,0.4475,
quabai,3,1000mm,44.10,6.805,2.9512,0.4328,0.7340,4.618,2.2172,0.4792,
rappor,1,250mm,27.00,1.344,0.4719,0.3504,0.1508,0.806,0.3211,0.3978,
rappor,1,1000mm,43.50,5.961,2.9125,0.4876,0.5204,4.527,2.3921,0.5274,
rappor,2,250mm,33.80,0.866,0.3419,0.3940,0.1030,0.518,0.2389,0.4603,
rappor,2,1000mm,28.20,2.375,1.5514,0.6519,0.2555,1.796,1.2959,0.7201,
rappor,3,250mm,38.80,1.636,0.8746,0.5335,0.2171,1.074,0.6575,0.6110,
rappor,3,1000mm,38.00,4.244,2.4071,0.5660,0.4136,3.188,1.9935,0.6241,
rappor,3,base,,,,,,6.366,4.3119,0.6760,
rhotri,1,base,,,,,,0.173,0.1247,0.7194,
rhotri,1,250mm,38.90,0.556,0.2921,0.5243,0.0686,0.373,0.2235,0.5980,
rhotri,1,1000mm,37.00,1.648,1.1541,0.6989,0.1760,1.303,0.9781,0.7492,
rhotri,2,250mm,39.40,0.388,0.2174,0.5592,0.0372,0.277,0.1802,0.6492,
rhotri,2,base,,,,,,0.362,0.2515,0.6943,
rhotri,2,1000mm,57.60,2.896,1.9878,0.6850,0.2722,2.325,1.7156,0.7364,
rhotri,3,250mm,27.40,0.253,0.1424,0.5617,0.0359,0.161,0.1065,0.6602,
rhotri,3,base,11.60,,,,,0.232,0.1824,0.7846,
rhotri,3,1000mm,28.50,1.585,1.1502,0.7242,0.1840,1.201,0.9662,0.8029,
rhotri,x,base,20.00,,,,,,0.3092,#DIV/0!,
rhotri,x,base,,,,,,0.245,0.1790,0.7292,
rocang,1,250mm,45.90,1.086,0.4184,0.3845,0.1332,0.758,0.2852,0.3755,
rocang,1,1000mm,59.00,7.816,3.5445,0.4526,0.6222,6.335,2.9223,0.4604,
rocang,2,250mm,39.00,0.623,0.2131,0.3414,0.0789,0.385,0.1342,0.3479,
rocang,2,1000mm,45.80,4.495,2.0004,0.4441,0.4301,3.495,1.5703,0.4484,
rocang,3,250mm,39.60,0.772,0.3425,0.4428,0.1029,0.521,0.2396,0.4590,
rocang,3,1000mm,55.60,7.695,3.4075,0.4419,0.5424,6.278,2.8651,0.4555,
rocang,x,base,,,,,,0.303,0.1854,0.6107,
rocang,x,base,19.20,,,,,0.337,0.2233,0.6613,
rocang,x,base,17.70,,,,,0.339,0.1690,0.4975,
rocang,x,base,10.60,,,,,0.201,0.1610,0.7994,
solmau,1,base,21.70,,,,,0.405,0.1610,0.3972,
solmau,1,250mm,45.90,1.414,0.4016,0.2834,0.1181,0.843,0.2835,0.3356,
solmau,1,1000mm,39.70,7.988,2.5845,0.3229,0.4262,6.018,2.1583,0.3579,
solmau,2,base,26.90,,,,,0.489,0.1731,0.3533,
solmau,2,250mm,37.40,1.904,0.4373,0.2292,0.1563,1.151,0.2810,0.2438,
solmau,2,1000mm,29.40,4.463,1.5797,0.3532,0.2552,3.298,1.3245,0.4008,
solmau,3,base,18.40,,,,,0.328,0.1573,0.4786,
solmau,3,250mm,49.10,2.265,0.8020,0.3534,0.2135,1.467,0.5885,0.4004,
solmau,3,1000mm,45.20,7.565,3.0248,0.3990,0.3483,6.120,2.6765,0.4365,
solmau,x,base,23.60,,,,,0.434,0.1781,0.4100,
solmau,x,base,19.40,,,,,0.371,0.1683,0.4527,
solmau,x,base,24.80,,,,,0.469,0.1671,0.3558,
syzgus,1,250mm,28.70,0.595,0.2375,0.3984,0.0633,0.412,0.1742,0.4220,
syzgus,1,1000mm,32.50,5.350,2.5678,0.4790,0.4181,4.289,2.1497,0.5002,
syzgus,2,250mm,29.40,0.526,0.2195,0.4165,0.0573,0.342,0.1622,0.4733,
syzgus,2,1000mm,48.20,10.760,5.3629,0.4974,1.0453,8.155,4.3176,0.5284,
syzgus,3,250mm,41.40,0.919,0.3957,0.4297,0.1135,0.578,0.2822,0.4873,
syzgus,3,1000mm,29.60,5.829,2.9209,0.5001,0.5455,4.437,2.3754,0.5343,
syzgus,x,base,16.80,,,,,0.332,0.2269,0.6831,
syzgus,x,base,,,,,,0.303,0.1743,0.5750,
syzgus,x,base,18.00,,,,,0.353,0.2401,0.6788,
syzgus,x,base,14.10,,,,,0.277,0.1698,0.6118,
syzsay,1,250mm,39.50,0.752,0.3632,0.4820,0.1689,0.375,0.1943,0.5171,
syzsay,1,1000mm,41.20,10.271,4.9899,0.4849,1.4520,7.189,3.5379,0.4911,
syzsay,2,250mm,26.70,0.245,0.1210,0.4929,0.0408,0.151,0.0802,0.5301,
syzsay,2,1000mm,28.10,3.579,1.7455,0.4867,0.4545,2.556,1.2910,0.5041,
syzsay,3,250mm,32.00,0.699,0.3130,0.4469,0.1305,0.378,0.1825,0.4818,
syzsay,3,1000mm,41.20,8.420,3.8999,0.4622,1.2287,5.814,2.6712,0.4585,
syzsay,x,base,11.90,,,,,0.227,0.1353,0.5948,
syzsay,x,base,12.90,,,,,0.245,0.1564,0.6371,
syzsay,x,base,13.80,,,,,0.267,0.1664,0.6220,
syzsay,x,base,20.50,,,,,,0.2357,#DIV/0!,
treasp,1,250mm,34.60,0.441,0.1314,0.2974,0.0422,0.276,0.0892,0.3225,
treasp,1,base,24.80,,,,,,0.2240,#DIV/0!,
treasp,1,1000mm,35.70,4.010,1.4673,0.3652,0.3351,3.044,1.1322,0.3712,
treasp,2,250mm,30.50,0.324,0.1047,0.3225,0.0400,0.170,0.0647,0.3798,
treasp,2,base,19.80,,,,,0.372,0.1923,0.5159,
treasp,2,1000mm,45.80,5.769,1.9467,0.3368,0.4091,4.567,1.5376,0.3360,
treasp,3,250mm,39.70,0.545,0.1643,0.3009,0.0624,0.309,0.1019,0.3291,
treasp,3,base,21.60,,,,,0.386,0.1745,0.4512,
treasp,3,1000mm,42.80,3.443,1.2191,0.3534,0.2738,2.602,0.9453,0.3626,
treasp,x,base,40.5000,,,,,0.539,0.1677,0.3107,
treasp,x,base,40.0700,,,,,0.559,0.1837,0.3281,
treasp,x,base,33.8000,,,,,0.467,0.1892,0.4045,
treasp,x,base,,,,,,0.284,0.1399,0.4925,
treasp,x,base,18.70,,,,,0.340,0.1098,0.3228,
treasp,x,base,16.70,,,,,0.317,0.1545,0.4864,
treasp,x,base,12.40,,,,,0.219,0.1108,0.5045,
treasp,x,base,,,,,,0.288,0.1361,0.4713,
